Date,Open,High,Low,Close
5/22/2020,"1,713.77","1,719.32","1,705.45","1,718.66"
5/26/2020,"1,723.16","1,759.07","1,723.16","1,742.44"
5/27/2020,"1,743.95","1,770.16","1,728.63","1,770.16"
5/28/2020,"1,768.91","1,786.99","1,759.44","1,763.22"
5/29/2020,"1,763.71","1,773.85","1,745.81","1,771.37"
6/1/2020,"1,770.58","1,785.18","1,765.42","1,780.52"
6/2/2020,"1,781.66","1,795.46","1,778.21","1,795.25"
6/3/2020,"1,798.05","1,826.51","1,798.05","1,822.18"
6/4/2020,"1,820.60","1,825.41","1,803.14","1,816.09"
6/5/2020,"1,818.72","1,875.92","1,818.72","1,864.22"
6/8/2020,"1,864.05","1,889.83","1,864.05","1,889.67"
6/9/2020,"1,888.39","1,888.39","1,863.33","1,871.67"
6/10/2020,"1,873.40","1,878.54","1,853.32","1,858.54"
6/11/2020,"1,855.41","1,855.41","1,745.53","1,746.70"
6/12/2020,"1,750.48","1,798.92","1,736.64","1,771.06"
6/15/2020,"1,766.94","1,795.71","1,726.14","1,788.97"
6/16/2020,"1,796.15","1,840.11","1,795.80","1,822.95"
6/17/2020,"1,824.78","1,831.16","1,812.03","1,814.91"
6/18/2020,"1,814.20","1,819.88","1,803.76","1,816.40"
6/19/2020,"1,818.06","1,837.71","1,798.06","1,806.39"
6/22/2020,"1,806.34","1,819.88","1,795.16","1,818.34"
6/23/2020,"1,819.80","1,838.97","1,819.80","1,825.66"
6/24/2020,"1,824.65","1,824.65","1,765.51","1,776.57"
6/25/2020,"1,776.38","1,798.83","1,761.45","1,797.52"
6/26/2020,"1,796.08","1,796.08","1,752.76","1,754.87"
6/29/2020,"1,756.46","1,781.89","1,749.31","1,781.49"
6/30/2020,"1,781.23","1,815.19","1,778.56","1,809.25"
7/1/2020,"1,810.88","1,824.82","1,809.02","1,817.42"
7/2/2020,"1,820.92","1,847.62","1,820.92","1,825.97"
7/6/2020,"1,827.72","1,857.88","1,827.72","1,854.46"
7/7/2020,"1,854.34","1,857.58","1,832.84","1,833.99"
7/8/2020,"1,835.01","1,850.58","1,829.48","1,849.55"
7/9/2020,"1,850.03","1,854.91","1,816.78","1,838.09"
7/10/2020,"1,837.94","1,858.93","1,829.43","1,858.10"
7/13/2020,"1,863.74","1,887.76","1,833.96","1,836.85"
7/14/2020,"1,835.17","1,863.19","1,821.02","1,861.80"
7/15/2020,"1,863.52","1,888.36","1,863.52","1,883.65"
7/16/2020,"1,877.00","1,878.81","1,866.42","1,876.17"
7/17/2020,"1,876.94","1,887.25","1,870.95","1,882.58"
7/20/2020,"1,882.81","1,902.44","1,878.31","1,899.03"
7/21/2020,"1,901.32","1,914.75","1,897.41","1,902.50"
7/22/2020,"1,902.14","1,914.83","1,901.09","1,913.32"
7/23/2020,"1,913.29","1,917.24","1,882.66","1,891.13"
7/24/2020,"1,889.70","1,889.70","1,868.54","1,877.04"
7/27/2020,"1,877.59","1,893.88","1,877.13","1,893.10"
7/28/2020,"1,892.81","1,895.17","1,878.63","1,879.67"
7/29/2020,"1,881.00","1,908.87","1,881.00","1,905.63"
7/30/2020,"1,904.74","1,904.74","1,874.69","1,899.17"
7/31/2020,"1,902.09","1,911.40","1,880.68","1,909.89"
8/3/2020,"1,917.74","1,930.81","1,917.74","1,926.55"
8/4/2020,"1,926.70","1,933.90","1,921.98","1,933.72"
8/5/2020,"1,935.45","1,949.31","1,935.45","1,948.25"
8/6/2020,"1,947.95","1,959.18","1,942.03","1,958.04"
8/7/2020,"1,955.39","1,960.41","1,945.45","1,959.48"
8/10/2020,"1,960.81","1,965.75","1,950.60","1,963.88"
8/11/2020,"1,964.26","1,976.62","1,944.32","1,948.29"
8/12/2020,"1,950.25","1,978.34","1,950.25","1,974.48"
8/13/2020,"1,973.26","1,980.78","1,966.69","1,972.23"
8/14/2020,"1,971.64","1,975.08","1,965.46","1,971.34"
8/17/2020,"1,972.91","1,981.52","1,972.91","1,979.63"
8/18/2020,"1,981.34","1,986.20","1,971.89","1,982.49"
8/19/2020,"1,983.08","1,988.33","1,971.14","1,973.89"
8/20/2020,"1,972.18","1,983.44","1,961.95","1,980.29"
8/21/2020,"1,980.15","1,986.52","1,976.93","1,984.99"
8/24/2020,"1,991.29","2,004.00","1,991.29","2,003.67"
8/25/2020,"2,005.34","2,010.95","1,999.59","2,010.62"
8/26/2020,"2,011.31","2,031.03","2,010.74","2,029.42"
8/27/2020,"2,029.94","2,043.51","2,024.03","2,033.84"
8/28/2020,"2,039.68","2,048.31","2,035.33","2,047.81"
8/31/2020,"2,047.71","2,053.37","2,039.97","2,045.01"
9/1/2020,"2,045.40","2,062.94","2,042.30","2,062.44"
9/2/2020,"2,062.76","2,093.51","2,062.15","2,089.83"
9/3/2020,"2,062.76","2,093.51","1,999.66","2,014.85"
9/4/2020,"2,014.26","2,029.13","1,950.68","1,997.88"
9/8/2020,"1,994.14","1,994.14","1,939.79","1,940.99"
9/9/2020,"1,943.73","1,993.76","1,943.73","1,980.15"
9/10/2020,"1,980.30","1,997.91","1,942.50","1,947.54"
9/11/2020,"1,949.54","1,963.55","1,929.39","1,946.98"
9/14/2020,"1,947.79","1,984.26","1,947.79","1,977.22"
9/15/2020,"1,979.51","1,998.48","1,979.51","1,988.42"
9/16/2020,"1,989.87","2,006.66","1,980.98","1,981.53"
9/17/2020,"1,977.33","1,977.33","1,948.03","1,964.60"
9/18/2020,"1,965.55","1,969.42","1,929.03","1,945.72"
9/21/2020,"1,943.04","1,943.04","1,890.75","1,922.29"
9/22/2020,"1,924.09","1,943.81","1,915.24","1,941.21"
9/23/2020,"1,941.08","1,945.20","1,891.79","1,893.68"
9/24/2020,"1,893.19","1,917.58","1,875.06","1,897.84"
9/25/2020,"1,897.88","1,934.31","1,890.71","1,929.70"
9/28/2020,"1,932.09","1,967.09","1,932.09","1,962.16"
9/29/2020,"1,962.06","1,965.66","1,948.81","1,953.05"
9/30/2020,"1,952.85","1,985.61","1,952.85","1,968.09"
10/1/2020,"1,969.37","1,988.45","1,969.37","1,982.84"
10/2/2020,"1,978.39","1,978.39","1,949.49","1,966.37"
10/5/2020,"1,968.60","2,003.43","1,968.60","2,003.32"
10/6/2020,"2,002.86","2,020.01","1,975.08","1,978.30"
10/7/2020,"1,980.75","2,017.20","1,980.75","2,013.44"
10/8/2020,"2,015.70","2,030.03","2,015.70","2,029.89"
10/9/2020,"2,031.47","2,050.53","2,031.47","2,047.36"
10/12/2020,"2,056.34","2,085.61","2,056.34","2,077.68"
10/13/2020,"2,078.24","2,078.24","2,061.05","2,066.54"
10/14/2020,"2,067.00","2,076.57","2,049.18","2,053.25"
10/15/2020,"2,051.27","2,055.16","2,026.31","2,051.99"
10/16/2020,"2,052.60","2,069.11","2,049.87","2,051.06"
10/19/2020,"2,053.74","2,062.76","2,016.05","2,019.51"
10/20/2020,"2,023.20","2,046.69","2,023.20","2,027.26"
10/21/2020,"2,026.04","2,039.04","2,020.03","2,020.36"
10/22/2020,"2,020.48","2,036.98","2,009.86","2,033.08"
10/23/2020,"2,035.87","2,042.32","2,025.42","2,040.89"
10/26/2020,"2,037.23","2,037.23","1,981.18","2,002.74"
10/27/2020,"2,002.98","2,007.09","1,995.21","1,995.97"
10/28/2020,"1,994.08","1,994.08","1,926.95","1,928.01"
10/29/2020,"1,928.04","1,966.54","1,921.74","1,950.13"
10/30/2020,"1,946.48","1,946.48","1,904.78","1,923.70"
11/2/2020,"1,925.11","1,958.29","1,925.11","1,947.63"
11/3/2020,"1,949.90","1,994.97","1,949.90","1,984.78"
11/4/2020,"1,987.49","2,050.37","1,987.49","2,026.55"
11/5/2020,"2,031.09","2,076.35","2,031.09","2,068.46"
11/6/2020,"2,068.25","2,073.73","2,054.76","2,067.28"
11/9/2020,"2,069.13","2,140.32","2,069.13","2,090.36"
11/10/2020,"2,087.72","2,094.88","2,066.36","2,088.88"
11/11/2020,"2,090.24","2,108.75","2,090.24","2,105.16"
11/12/2020,"2,105.09","2,105.09","2,073.23","2,084.02"
11/13/2020,"2,084.84","2,116.81","2,084.84","2,112.38"
11/16/2020,"2,112.73","2,139.25","2,112.73","2,138.51"
11/17/2020,"2,137.77","2,140.53","2,117.87","2,133.10"
11/18/2020,"2,133.52","2,140.55","2,110.82","2,111.05"
11/19/2020,"2,110.45","2,123.58","2,099.64","2,122.37"
11/20/2020,"2,122.01","2,122.05","2,110.76","2,110.90"
11/23/2020,"2,111.42","2,132.94","2,111.42","2,127.20"
11/24/2020,"2,127.79","2,163.91","2,127.79","2,160.58"
11/25/2020,"2,161.17","2,161.66","2,149.57","2,158.97"
11/27/2020,"2,159.59","2,168.92","2,159.59","2,166.60"
11/30/2020,"2,166.85","2,166.85","2,137.32","2,154.29"
12/1/2020,"2,155.31","2,185.12","2,155.31","2,176.68"
12/2/2020,"2,176.19","2,180.21","2,162.77","2,179.13"
12/3/2020,"2,179.45","2,190.81","2,176.62","2,181.57"
12/4/2020,"2,182.14","2,204.13","2,182.14","2,204.09"
12/7/2020,"2,203.85","2,204.89","2,195.21","2,202.15"
12/8/2020,"2,202.64","2,214.14","2,194.38","2,210.94"
12/9/2020,"2,211.08","2,217.65","2,181.73","2,190.52"
12/10/2020,"2,188.89","2,197.00","2,173.31","2,193.51"
12/11/2020,"2,192.96","2,192.96","2,171.19","2,189.51"
12/14/2020,"2,190.10","2,211.27","2,182.60","2,182.83"
12/15/2020,"2,183.97","2,212.75","2,183.97","2,212.49"
12/16/2020,"2,212.80","2,220.77","2,208.89","2,215.18"
12/17/2020,"2,216.03","2,232.17","2,216.03","2,232.17"
12/18/2020,"2,232.45","2,236.46","2,211.86","2,227.00"
12/21/2020,"2,224.74","2,224.74","2,184.80","2,220.10"
12/22/2020,"2,220.12","2,225.42","2,212.18","2,220.37"
12/23/2020,"2,220.82","2,234.05","2,220.82","2,222.65"
12/24/2020,"2,226.15","2,229.05","2,220.99","2,228.63"
12/28/2020,"2,234.79","2,246.14","2,234.79","2,240.85"
12/29/2020,"2,241.85","2,252.76","2,228.60","2,232.01"
12/30/2020,"2,234.63","2,244.76","2,234.63","2,237.76"
12/31/2020,"2,237.70","2,250.55","2,233.09","2,248.44"
